ja	en	zh-tw	zh-cn
かつては天界の水軍を統べる指揮官だったが、あまりにも好色が過ぎるため追放され、僧に身をやつした。苦手な言葉は努力と根性、真面目に働く事は大嫌いという当代きっての怠け者。そんな彼だが、カワイ子ちゃんにモテるためなら話は別。ナンパ仲間の「波に乗ればモテモテや！」という言葉を信じ、気合を入れてサーファー姿に大変身。サーフィン初心者の筈の彼だが、何やら腕前には自信がある模様・・・？	"In the past, Ganglie commanded the naval forces of the heavens, only to be banished for his lasciviousness. Now disguised as a monk, he is an unparalleled layabout with a deep hatred for hard work, effort, and exertion. Despite this lazy disposition, however, he will make any effort to impress adorable cuties. After being told by a like-minded friend that riding the waves brings suitors in droves, Ganglie has been trying his best at surfing. For a supposed beginner, he has an unusual amount of confidence in his skills."	曾經是統領天界水軍的指揮官，但因過於好色而被放逐，出家為僧。他最不喜歡聽到的字眼就是努力和毅力，也最討厭認真工作，是個無人能出其右的懶惰鬼。雖說如此，但只要是為了受到可愛年輕人的歡迎，那就另當別論了。搭訕夥伴告訴他「只要能夠乘風破浪，一定能夠大受歡迎！」，相信了這番話的他便努力練習，搖身一變成為衝浪手。明明他應該是衝浪新手，但卻看似對自己的技術非常有信心……？	过去曾是天界的水军统领，但因过于好色而被流放，成为僧人。不喜欢的词语是“努力”和“毅力”，非常讨厌认真工作，是当今社会上的顶级懒人。但要是能受可爱的女生欢迎，就另当别论了。他的搭讪伙伴曾对他说过“冲浪能受女生欢迎！”。因为相信了对方的话，所以鼓起干劲玩起了冲浪。明明是冲浪初学者的他似乎对自己很有自信…？
かつて偉大なる古王が左胸に押し当てた指輪の焼印により、仕える主に絶対服従するという呪いを与えられている。これは戦闘においても同様で、召喚主の許しが無い限り、その「権能」を十全に発揮出来ない。召喚主は左胸の焼印に触れ、命ずる事で、彼は炎を噴き出す心臓の「神器」を解放する事が可能となる。解放後は敵を巻き込んで、再度封印されてしまうため、その都度解放が必要となる。暑苦しいが、意外と責任感はあり、バイトリーダー向きの性格をしている。仕事をすぐサボろうとする相手に、激しい怒りを抱く。	"A brand imprinted on the left side of his chest by the ring of an ancient king, signifies he is cursed to submit wholly to a master. This applies even in battle and unless the Summoner commands it, he is unable to fully utilize his Rule. The Summoner must touch the brand and issue a command in order to release the Sacred Artifact that is his Flaming Heart. After it has been released, he will attack all enemies in the area before it is sealed once more, meaning that his Rule must be released before each use. He has an overbearing personality but a strong sense of responsibility. He would make a great shift manager, raining down hell on any part-time worker who slacks off on the job."	因為從前一個偉大的古老君王用戒指在他左胸烙下了烙印，使他被加上了絕對服從侍奉之主的詛咒。這在戰鬥中也相同，若沒有召喚師的允許，他便無法完全發揮自己的「權能」。必須讓召喚師碰觸左胸的烙印，並下達命令，他才能解放那噴發火焰的心臟「神器」。由於解放後會連敵人一起封印起來，所以每次都需要進行解放。雖然有點過度熱情，不過卻意外地有責任感，個性相當適合擔任打工組長。對於工作中打混摸魚的人會感到相當強烈的憤怒。	过去，伟大的古代君王将戒指烙印在他左胸上，施加让他对主人绝对服从的诅咒。在战斗中同样如此，若无召唤师的许可，将无法彻底发挥该“权能”的力量。必须由召唤师触摸其左胸的烙印并下令，他才能解放喷射火焰的心脏“神器”。由于释放能力后会将敌方卷入其中再次封印，所以每次使用前都必须解除封印。虽然很烦躁，却意外地富有责任感，性格很适合担任打工领班。对于喜欢在工作时偷懒的人怀有强烈的怒意。
かつて在りし平穏な日々１	The Peace of Days Past (1)	曾享有的安穩日子１	昔日的安逸1
かつて在りし平穏な日々2	The Peace of Days Past (2)	曾享有的安穩日子２	昔日的安逸2
かつて在りし平穏な日々３	The Peace of Days Past (3)	曾享有的安穩日子３	昔日的安逸3
かつて事故により失った片目は、義眼の神器へと入れ替えられている。権能として、壁や服を透視したり、体の中を透視して悪い個所を見定める事が出来る「千里眼」の力を持つ。	"The eye he lost in an accident has been replaced with a Sacred Artifact in the form of a prosthetic Eye. Its Rule gives him the ability of clairvoyance. He can look through walls, clothes, and even bodies, in which he can determine any illness."	從前因為意外失去了一隻眼睛，現在則是用義眼神器來代替。權能是能夠透視牆壁和衣服，並透視人體發現毛病的「千里眼」之力。	曾因意外失去一只眼睛，现在已替换成了义眼神器。其权能具有“千里眼”之力，可透视墙壁及衣服，或是透视身体锁定问题部位。
かつて召喚主より与えられた襟巻の神器は、カーシーが幸せであれという祈り、そして幸運をもたらす為の権能を編み込まれている。前の主と暮らした思い出は暖かくて、幸せで、辛い時、それを思い出すと彼はいつも大声で鳴いてしまうのだ。カーシーの鳴き声には感情を共感させる力があり、哀切な気持ちを込めた鳴き声を耳にした者は、攻撃衝動を強制的に抑制されてしまう。更に三度目の鳴き声は物理的な衝撃を伴い、周囲の全てを吹き飛ばす。	"The Sacred Artifact given to Cu Sith is a Scarf with a prayer for his happiness woven into it and a Rule that brings good fortune. The memories of his previous master are warm and always bring tears to his eyes, along with a little howling when he thinks of them during sad times. Cu Sith's howls have the power of eliciting empathy. When people hear those sad cries, their aggressive impulses are suppressed. The third cry, however, will become physical shockwave that blasts all who are within range."	昔日的召喚師所贈與的圍巾神器，編織進了祈求卡西幸福的祈願，以及招來幸運的權能。與昔日主人一起生活的回憶既溫暖又幸福，每當卡西痛苦時想起這些回憶，就會放聲嘶吼。卡西的叫聲擁有使情緒共鳴的力量，聽到他哀戚叫聲的人，原本的攻擊欲望就會被強制壓抑下來。到了第三次吼叫時，聲音會伴隨物理衝擊，將周遭的一切擊飛。	过去的召唤师赠与的围巾神器中编织着希望卡西幸福的祈愿，以及带来幸福的权能。与前任主人一起生活时的回忆是如此温馨幸福，每当在痛苦时回忆起这些，他都会大声嘶吼。卡西的叫声具有让他人情感共鸣的力量，听到这悲切嚎叫声之人，攻击性的冲动都会被强制压抑。第三声的吼叫还会伴随物理攻击，将周围的一切全部吹飞。
かつて世界代行者へと生贄に捧げられた男であり、その胸の奥にあった心臓は失われている。その代わりに得たのが、どこまでも伸び縮み、そして張り付くゴムの「神器」。「アプリバトル」において彼の肉体に張り付くリングコスチュームは、このゴムにより形作られている。また、この「神器」により、いかなる衝撃も受け止め、跳ね返す戦法を得意としている。更に、彼の「奪われた心臓」の代わりを胸の中で果たしているのも、この働きによるものである。しかし、その「役割」が負う代償から、その心臓の鼓動はいつ止まってもおかしくなく、常に死と隣り合わせ。戦争屋と政争家のギルド・ウォーモンガーズの幹部、「煙吐く黒鏡」の化身（ナワル）として、常に危険な最前線に立ち、仲間たちを鼓舞する。自分のルチャドールとしての魅力を引き出す、最高の責め手を求めている。	"No heart has beat within his chest ever since the day that he was sacrificed to the Representative of his home world. In exchange, he has gained a Rubber Sacred Artifact, which can expand and contract freely as well as stick to other objects. He excels at using this Rubber during App Battles to bounce his foes' attacks back at them, and the skin-tight wrestling costume he acquires on booting up the App is made of it. Its expanding and contracting properties even allow it to replace Hombre Tigre's lost heart; however, as the price of this Role is that it could cease working at any time, this means living hand-in-hand with death. As Nahual of Tezcatlipoca, one of the leaders of the Warmongers, he has a duty to lead from the front, and he can invariably be found plunging fearlessly into danger in order to inspire his allies. He is constantly in search of worthy foes who will allow his Lucha to truly shine."	曾是獻祭給世界代理人的活供品，這男人左胸深處的心臟已不復存在。取而代之的是，他獲得了伸縮自如到得了天涯海角，且能附著的橡膠「神器」。在「APP對戰」中，附著在他肉體上的擂台專用服裝，就是以此橡膠形成的。另外，這個「神器」能承受任何離譜的衝擊，也相當擅長反彈戰術。代替「被奪取的心臟」在他左胸深處盡力運轉，也是這項神器的作為之一。然而作為這份「職責」的代價，那顆心臟即使哪一天不再跳動也不奇怪，隨時都與死亡相鄰。在戰爭販子與政治家聚集的公會好戰者任職幹部，以「冒煙黑鏡」的化身之姿，總是在危險的最前線負責鼓舞夥伴們。為了更加發揮自己身為自由摔角手的魅力，追求最完美的施虐者。	他曾被作为祭品献给了世界代理人，因此失去了胸膛内的心脏。作为弥补，他得到了可以无限伸缩、黏附的橡胶“神器”。“APP对战”中黏附在他身上的橡皮圈就是用这个橡胶制成的。同时，得益于橡胶“神器”，他可以承受住任何巨大的冲击，因而擅长弹跳式的战斗。此外，代替他“被剥夺的心脏”在胸腔中发挥功能的东西也来自于此。然而，身负这种“天职”的代价就是，自己的心脏不知何时会停止跳动，因而他永远都在死亡的边缘徘徊。他是战争贩子和政治斗争家的公会——好战者的干部成员，作为“吐烟黑镜”的化身时刻站在最危险的前线，鼓舞着同伴们。他一直都在寻找着那些能激发出自己身为摔跤手的魅力的最强对手。
かつて千代田区に存在した異端教団の施設跡地を拠点とする、大手町ギルド・ジェノサイダーズのギルドマスター。全てを終わらせる者たちにとって、己に刻まれる烙印は用をなさない。日本人とフランス人の両方の血を引いている。全てを燃やし尽くすような激情を、その内に秘めている。「家族」を深く慈しみ、その姿を、声を聴くことを何よりも好む。	"Guild Master of the Otemachi Genociders, located in the abandoned headquarters of a cult in Chiyoda Ward. The stigma they carry means nothing to a group of those intent on ending all life. Of both French and Japanese descent, they conceal a violent, burning passion within. Arc cares deeply for those they call their family, and loves seeing them and hearing their voices above all else."	以過去存在於千代田區的異教教團舊址作為據點，大手町公會屠殺者的會長。對於要終結一切的人們而言，刻劃在自己身上的烙印毫無用處。他是日本與法國的混血兒。內心深藏著將一切燃燒殆盡的激情。非常疼愛「家人」，最喜歡看著他們的樣子、聆聽他們的聲音。	以千代田区的异教团体旧址为据点的大手町公会“屠戮者”的会长。对于终结所有之人而言，自身背负的烙印并无任何意义。拥有日法两国血统。内心深藏着足以燃尽万物的热情。极其重视“家人”。观察“家人”的一言一行是他的最爱之事。
カトンノジュツ	Fireflight Jutsu	火遁之術	火遁之术
要を得る者	Point Maker	悟得重點者	扼要者
カフェ	Cafe	咖啡廳	咖啡厅
カフェテーブル（床）	Cafe Table (Floor)	咖啡桌（地板）	咖啡店桌子（地面）
カフェテラス（部屋）	Cafe Terrace (Room)	咖啡廳露天座位（房間）	露天咖啡店（房间）
カフェ前	Cafe (Front)	咖啡廳前	咖啡厅前
カポエラ使い	Capoeira Fighter	卡波耶拉戰士	卡波耶拉战士
かぼちゃ提灯	Jack-o-Lantern	南瓜燈籠	南瓜灯笼
カミウミノホムラ	Burning Delivery	劫火自穿	劫火自穿
カミクチ・サンチラ	Avaricious Serpent	奉祀長蛇	奉祀长蛇
カミクチ・サンチラ？	Avaricious Serpent?	奉祀長蛇？	奉祀长蛇？
カメラ	Camera	相機	相机
カメラと三脚（壁）	Camera and Tripod (Wall)	相機與三腳架（牆壁）	相机和三脚架（墙）
カラオケマシーン（壁）	Karaoke Machine (Wall)	卡拉OK機器（牆壁）	卡拉OK机（墙）
カラオケルーム（部屋）	Karaoke Room (Room)	卡拉OK包廂（房間）	卡拉OK房（房间）
からクライアントの更新をしてください。	Update your client from {}.	請執行自{}的客戶端更新。	请通过{}更新客户端。
からの申請を本当に破棄してよろしいですか？	{}'s request will be discarded. Are you sure?	是否真的要取消自{}的申請？	确定要取消{}提交的申请吗？
カルキ	Kalki	迦樂季	迦乐季
カルキとプレゼント交換	Exchange Presents with Kalki	和迦樂季交換禮物	和迦乐季交换礼物
カルキと夏の花火	Summer Fireworks with Kalki	與迦樂季觀賞夏日煙火	迦乐季与夏日烟花
カルキにプレゼント	Present for Kalki	送禮給迦樂季	送迦乐季礼物
ガルム	Garmr	加姆	加姆
ガルムと夏の花火	Summer Fireworks with Garmr	與加姆觀賞夏日煙火	加姆与夏日烟花
ガルムにプレゼント	Present for Garmr	送禮給加姆	送加姆礼物
カレーライス名人	Curry Aficionado	咖哩飯名人	咖喱饭名人
カレー屋のバイト	Curry Shop Worker	咖哩店的打工	咖喱店的打工仔
ガンダルヴァ	Gandharva	乾闥婆	乾闼婆
ガンダルヴァにプレゼント	Present for Gandharva	送禮給乾闥婆	送乾闼婆礼物
カンテラ（上）	Candle (Hang)	油燈（上）	油灯（上）
キープアウト	Keep-out	禁止進入	禁止入内
記憶世界	World of Memories	記憶世界	记忆世界
記憶のエルドラド	Memories of El Dorado	記憶的艾爾多拉德	记忆的黄金国
記憶のオリュンポス	Olympus of Memories	記憶的奧林帕斯	记忆中的奥林匹斯
キオニ	Yellow Oni	黄鬼	黄鬼
ギガンツヴァッシャー	Geant Basher	豪砲雷落	豪炮雷落
ギガンティック・タイフォーン	Gigantic Typhoon	噴迫逆倒	喷迫逆倒
ギガンティック・タイフォーン・エレキＭＩＸ	Gigantic Typhoon Shock	噴薄激倒？	喷薄激倒
機工を仕上げる者	Industrial Artisan	完成機械工具者	完成机工者
キジムナー	Kijimuna	奇基姆拿	奇吉姆纳
キジムナーとプレゼント交換	Exchange Presents with Kijimuna	和奇基姆拿交換禮物	和奇吉姆纳交换礼物
キジムナーと最初の３日間	First Days with Kijimuna	與奇基姆拿共處的最初３天	奇吉姆纳与最初的三天
黄の巨人	Yellow Giant	黃之巨人	黄色巨人
木のジャイアント	Wood Giant	木之巨人	木之巨人
黄の反魂体	Yellow Spirit	黃之返魂體	黄色返魂体
ギブミースイートハート！/初級	Somebody to Love! - Novice	給我甜心！/初級	给我甜心！初级
ギブミースイートハート！/上級	Somebody to Love! - Advanced	給我甜心！/上級	给我甜心！高级
ギブミースイートハート！/中級	Somebody to Love! - Intermediate	給我甜心！/中級	给我甜心！中级
ギブミースイートハート！/超ド級	Somebody to Love! - Extreme	給我甜心！/超猛級	给我甜心！究级
ギブミースイートハート！/超級	Somebody to Love! - Elite	給我甜心！/超級	给我甜心！超级
ギブミースイートハート！/伝説級	Somebody to Love! - Legendary	給我甜心！/傳說級	给我甜心！神级
ギブミースイートハート！/入門級	Somebody to Love! - Introductory	給我甜心！/入門級	给我甜心！入门级
きみがくれた勇気	The Courage You Gave Me	你給的勇氣	你给我的勇气
キミと真夏の臨海学校	Seaside Summer School with You	與你的盛夏臨海學校	与你共度的海滨夏令营
キミと真夏の臨海学校 エピローグ	"Seaside Summer School with You ""Epilogue"""	"與你的盛夏臨海學校 ""終章"""	"与你共度的海滨夏令营 ""尾声"""
キミと真夏の臨海学校 おくりびと	"Seaside Summer School with You ""Departures"""	"與你的盛夏臨海學校 ""目送者"""	"与你共度的海滨夏令营 ""送行者"""
キミと真夏の臨海学校 クロードの結婚	"Seaside Summer School with You ""Claude's Marriage"""	"與你的盛夏臨海學校 ""克勞德的婚事"""	"与你共度的海滨夏令营 ""克劳德的婚事"""
キミと真夏の臨海学校 それが生徒の為ならば1	"Seaside Summer School with You ""For my Students (1)"""	"與你的盛夏臨海學校 ""只要是為了學生1"""	"与你共度的海滨夏令营 ""一切为了学生1"""
キミと真夏の臨海学校 それが生徒の為ならば2(後)	"Seaside Summer School with You ""For my Students (2)"" - Part 2"	"與你的盛夏臨海學校 ""只要是為了學生2""（後）"	"与你共度的海滨夏令营 ""一切为了学生2""（后）"
キミと真夏の臨海学校 それが生徒の為ならば2(前)	"Seaside Summer School with You ""For my Students (2)"" - Part 1"	"與你的盛夏臨海學校 ""只要是為了學生2""（前）"	"与你共度的海滨夏令营 ""一切为了学生2""（前）"
キミと真夏の臨海学校 プロローグ(後)	"Seaside Summer School with You ""Prologue (2)"""	"與你的盛夏臨海學校  ""序章（後）"""	"与你共度的海滨夏令营  ""序曲（后）"""
キミと真夏の臨海学校 プロローグ(前)	"Seaside Summer School with You ""Prologue (1)"""	"與你的盛夏臨海學校  ""序章（前）"""	"与你共度的海滨夏令营  ""序曲（前）"""
キミと真夏の臨海学校 王様とわたし	"Seaside Summer School with You ""The King and I"""	"與你的盛夏臨海學校 ""國王與我"""	"与你共度的海滨夏令营 "" 国王与我"""
キミと真夏の臨海学校 海の家繁盛期	"Seaside Summer School with You ""Life at the Beach House"""	"與你的盛夏臨海學校 ""海之家繁盛記"""	"与你共度的海滨夏令营 "" 海之家兴旺记"""
キミと真夏の臨海学校 海の家繁盛記2	"Seaside Summer School with You ""Life at the Beach House(2)"""	"與你的盛夏臨海學校 ""海之家繁盛記2"""	"与你共度的海滨夏令营 "" 海之家兴旺记2"""
キミと真夏の臨海学校 渚にまつわるエトセトラ(後)	"Seaside Summer School with You ""Much Ado About the Beach (2)"""	"與你的盛夏臨海學校 ""圍繞著海邊的種種（後）"""	"与你共度的海滨夏令营 ""海边二三事（后）"""
キミと真夏の臨海学校 渚にまつわるエトセトラ(前)	"Seaside Summer School with You ""Much Ado About the Beach (1)"""	"與你的盛夏臨海學校 ""圍繞著海邊的種種（前）"""	"与你共度的海滨夏令营 ""海边二三事（前）"""
キミと真夏の臨海学校 少年老い易く学成り難し	"Seaside Summer School with You ""Art is Long, Life is Short"""	"與你的盛夏臨海學校 ""少年易老學難成"""	"与你共度的海滨夏令营 ""少年易老学难成"""
キミと真夏の臨海学校 熱闘、ビーチバレー！1	"Seaside Summer School with You ""Hot-blooded Beach Volleyball! (1)"""	"與你的盛夏臨海學校 ""激戰！沙灘排球！1"""	"与你共度的海滨夏令营 ""沙滩排球激战！1"""
キミと真夏の臨海学校 熱闘、ビーチバレー！2	"Seaside Summer School with You ""Hot-blooded Beach Volleyball! (2)"""	"與你的盛夏臨海學校 ""激戰！沙灘排球！2"""	"与你共度的海滨夏令营 ""沙滩排球激战！2"""
きみのいちばんに	To Be Your One and Only	成為你的第一	成为你的第一
キムン・カムイ	Kimun Kamui	山神	山神
キャラクエ実装記念 ピックアップ転光召喚	Character Quest Commemoration Transient Summon	角色任務登場紀念 精選轉光召喚	角色任务发布纪念 精选转光召唤
キュウマ	Kyuma	球馬	球马
ギュウマオウ	Gyumao	牛魔王	牛魔王
ギュウマオウとスウィートタイム	A Sweet Moment with Gyumao	與牛魔王共度甜蜜時光	牛魔王和甜点时光
ギュウマオウとラヴシチュエーション！	A Romantic Scenario with Gyumao!	與牛魔王的甜蜜時光！	与牛魔王的甜蜜情景剧！
ギュウマオウとリゾート	At the Resort with Gyumao	與牛魔王度假	牛魔王与度假村
ギュウマオウの真なる姿は、雲にも達するほどの巨大な牡牛。東京では力が制限され真の姿になることはできないが、彼のツノである「神器」によって、その一端を引き出すことができる。フルパワーには及ばないものの、「神器」によって巨大化したギュウマオウは、小さな街一つ程度であれば破壊し尽くす程の脅威となりうる。彼はこの力はプレゼンでこそ真価を発揮すると考え、もっぱら会議や打ち合わせの席で巨大化している。	"Gyumao's true form is so massive that he towers above even the clouds. His power is sealed while residing in Tokyo, so he cannot unleash his true form, but his Horn Sacred Artifact allows him to draw out a fraction of his power. Even in this restricted form, he can still become a large enough menace that he could annihilate a small town. As one who knows the true power of presentation, he mainly uses his larger form to intimidate others during business meetings."	牛魔王的真面目是身軀巨大得高聳入雲的公牛。在東京裡因為力量受到限制，無法變回自己的真面目，不過透過他的犄角「神器」，可以發揮出部分的力量。牛魔王用「神器」巨大化之後，雖然仍與他的全力有所差距，但那股力量能將一個城鎮破壞殆盡，非常具威脅性。而牛魔王認為，這個力量在提案時才能發揮其真正的功效，所以他在會議和商談時經常巨大化。	牛魔王的真身是一头高耸入云的巨大公牛。尽管在东京力量受限，无法现出真身，但他那化为“神器”的大角可以使出一部分的力量。尽管不及全部力量的威力，但通过“神器”变大的牛魔王能轻易破坏一座小城市，是个危险的存在。他认为这股力量在谈判中才能发挥出真正的价值，所以经常在会议和谈判时将自己变大。
ギュウマオウ式ＯＪＴ！	OJT: The Gyumao Way	牛魔王式ＯＪＴ！	牛魔王式ＯＪＴ！
キュウマとお花見	Spring Picnic with Kyuma	與球馬一起賞花	球马与赏花
キュウマと夏の花火	Summer Fireworks with Kyuma	與球馬觀賞夏日煙火	球马与夏日烟花
キュウマにプレゼント	Present for Kyuma	送禮給球馬	送球马礼物
ぎゅっと詰まった流行りのアソート。食べるのがもったいない。	A box packed full of chocolates from a famous store. Too cute to eat.	裝得滿滿的流行綜合巧克力。捨不得吃掉。	摆得满满的现下流行的什锦盒。让人舍不得吃掉。
ギュミル・スムブル	Fishy Feast	開海寵飲	开海宠饮
ギョウブ	Gyobu	刑部	刑部
ギョウブとスウィートタイム	A Sweet Moment with Gyobu	與刑部共度甜蜜時光	刑部和甜点时光
ギョウブと夏祭り	Summer Festival with Gyobu	與刑部參加夏日祭典	刑部与夏日盛典
キョンシー帽子	Jiangshi Hat	殭屍帽	僵尸帽子
キリト	Kirito	切人	切人
ギルド～六本城学園	Guild - Roppongi Academy	公會～六本城學園	公会~六本城学园
ギルド同盟締結１	An Alliance of Guilds (1)	締結公會同盟１	缔结公会同盟1
ギルド同盟締結２	An Alliance of Guilds (2)	締結公會同盟２	缔结公会同盟2
ギルド同盟締結３	An Alliance of Guilds (3)	締結公會同盟３	缔结公会同盟3
キントンノジュツ	Metalflight Jutsu	金遁之術	金遁之术
キンモンゴサンノキリ	Steal the Show!	千兩役借	千两役借
クエスチョン	Question Mark	問號	疑问
クエストで手に入れたお賽銭を消費して10回ガチャを引きます。	Use Offerings obtained from quests to Summon 10 times.	消耗在任務中取得的香油錢可進行10次轉蛋。	消耗任务中获得的香油钱抽取10次扭蛋。
クエストで手に入れたお賽銭を消費して10回ガチャを引きます。（排出されるアイテムは１枠につき10個獲得出来ます）※「100連おみくじ召喚」からはAR装備、キャラクターは排出されません。2021お正月チケットは排出対象となります。	"Use Offerings obtained from quests to Summon 10 times (each of the items will be awarded in sets of 10). ※ You cannot obtain AR Equipment or Characters from the ""Hundred Fortune Summons."" You may obtain 2021 New Year's Tickets from this summon."	使用任務中所獲得的香油錢，進行十次轉蛋。(所獲得的道具每一格會出現十個) ※「100連抽抽籤召喚」內不會獲得AR裝備、角色。此召喚可獲得2021新年票券。	"消耗任务中所获得的香油钱，进行十次转蛋。(所获得的道具每一格为十个。) ※""100连抽灵签召唤""内不会获得AR装备、角色。此召唤可获得2021正月票券。"
クエストで手に入れたお賽銭を消費してガチャを引きます。	Use Offerings obtained from quests to Summon once.	消耗在任務中取得的香油錢可進行轉蛋。	消耗任务中获得的香油钱抽取扭蛋。
クチヨセ・セイアジン	Tripedal Leapfrog	迅走參蛙	迅走参蛙
クチヨセ・セイアジン？	Breakneck Leapfrog	速仙速傑	速仙速杰
クッキーテーブル（床）	Cookie Table (Floor)	點心桌（地板）	曲奇桌子（地面）
グッド・レッド・ロード	Red Road	將容注道	将容注道
クニヨシ	Kuniyoshi	國芳	国芳
クニヨシとドキドキ★ナイト！	A Sleepover with Kuniyoshi!	與國芳共度心跳★夜晚！	与国芳共度心跳★之夜！
クニヨシにプレゼント	Present for Kuniyoshi	送禮給國芳	送国芳礼物
クネヒト・ループレヒト	Robgoblin Goodfellow	黑白分命	黑白分命
クビカリノヤイバ	Ruthless Cutthroat	漂頭散寂	漂头散寂
クビカリノヤイバ？	Ruthless Cutthroat?	一樣來福	一样来福
グラウンド	Field	操場	运动场
くらげスライム	Jellyfish Slime	水母史萊姆	水母史莱姆
くらげのような何か？	Jelly...fish...?	像水母的東西？	像水母一样的东西？
クラフターズ	Crafters	技師	技师
クラブのDJ？	Nightclub DJ?	夜店DJ？	夜店的DJ？
クラブハウス	Club House	社團教室	社团室
クラマハチリュウ	Blade of Stratagem	六刀參略	六刀参略
暗闇の中の光明１	Light In The Darkness 1	黑暗中的光明1	黑暗中的光明1
暗闇の中の光明２	Light In The Darkness 2	黑暗中的光明2	黑暗中的光明2
暗闇の中の光明３	Light In The Darkness 3	黑暗中的光明3	黑暗中的光明3
グランド・グラウンド・グラトニィ	Continental Gorger	暴引暴蝕	暴引暴蚀
グランド・バンクェット	Grand Banquet	探食呼招	探食呼招
クランプス	Krampus	坎卜斯	克朗普斯
クランプスとＸＭＡＳ	Christmas with Krampus	與坎卜斯共度聖誕節	与克朗普斯的圣诞节
クランプスとプレゼント交換	Exchange Presents with Krampus	和坎卜斯交換禮物	和克朗普斯交换礼物
クランプスとワンナイト★カーニバル	A Late-Night Festival with Krampus	與坎卜斯共度的夜晚★嘉年華	与克朗普斯一夜★嘉年华
クリーム	Cream	奶油	奶油
グリーンウルフ	Green Wolf	綠色狼人	绿之狼
グリーンエビル	Green Devil	綠色惡魔	绿之恶魔
グリーンエルフ	Green Elf	綠色妖精	绿之精灵
グリーンゴースト	Green Ghost	綠色幽靈	绿之幽灵
グリーンスライム	Green Slime	綠色史萊姆	绿之史莱姆
グリーントライヴ	Green Tribe	綠族人	绿特莱布
グリーンニッセ	Green Gnome	綠色尼西	绿之尼西
グリーンノイド	Green Noaide	綠色諾伊德	绿之诺依德
グリーンフェンサー	Green Fencer	綠色劍士	绿之剑客
グリーンマジック	Green Magic	綠色魔法	绿魔法
クリエイターズ	Creators	創作家	创作者
クリスティーヌ	Christine	克莉絲汀	克莉丝汀
クリスティーヌとスウィートタイム	A Sweet Moment with Christine	與克莉絲汀共度甜蜜時光	克莉丝汀和甜点时光
クリスティーヌとの再会	Reunited with Christine	與克莉絲汀的再會	与克莉丝汀的重逢
クリスマス・イブに開催されるパーティーで行われる、学園主催のレスリング大会を仕切ることになってしまったレスリング部部長・居草場ダイスケ。覆面を被り、深紅のコートを身に纏い、自慢のマイクパフォーマンスでもって聖夜の会場を燃え立つように沸かせる。そんな彼を待ち受けるは、自身が鍛えた新人レスラー。武骨な体躯に鋭い眼光、相手にとって不足は無い。タウラスマスクもまた、この夜一番のヒーローとなるべく、眼前のヒールの咆哮に負けないほどの大声で相手を挑発するのだった。	"MC for the academy-hosted wrestling competition this Christmas Eve, please welcome wrestling team captain, Daisukeeeee... Ikusaba! Donning a mask and a crimson coat, he shows off his skills with a mic this Christmas Eve... and the crowd goes wild! Who could face Taurus Mask in the ring but the rookie wrestler he trained himself?! With that brutish physique and sharp glare, he's all this beast could ask for in an opponent! For one night only, the hero Taurus Mask answers the call to fight for justice with an unflinching roar of his own!"	平安夜的派對裡，摔角社社長居草場大介在學校主辦的摔角大賽當主持人。戴上假面、披上深紅的大衣，用他的麥克風挑釁讓平安夜的會場熱烈地沸騰起來。在那裡等待著他的，是他自己一手鍛鍊的新人摔角手。高高隆起的肌肉身軀加上銳利的眼神，是一個理想的對手。公牛假面為了當上今晚最厲害的英雄，以不輸給眼前對手的咆哮挑釁反擊。	在平安夜举办的派对上，被拉来主持学园主办的摔跤大会的摔跤部部长——居草场大辅。戴上面具，穿着深红色的外套，用引以为傲的麦克风演出，引爆平安夜的会场，炒热气氛。而他的对手，则是他自己培养出的新人摔跤手。健壮的躯体加上锐利的眼神，可以说是不相上下的对手。公牛假面同样也为了成为这一夜最棒的英雄，用不输于对手咆哮的音量，大声地向其发出挑衅。
クリスマス・イブに開催される盛大なパーティーに向け、俄然張り切るリョウタ。東京サンタスクールの短期集中サンタ強化合宿に参加し、本物のサンタクロースから賜った深紅の衣装に身を包み、「一夜限りのサンタ」として活躍する準備は万全。皆が仲良く幸せに過ごせるクリスマスにしたいと考える彼にとっては、独りぼっちの怪物だってその例外ではない。孤独を何よりも恐れる少年だからこそ、孤独である者には手を差し伸べずにはいられないのだ。	"Ryota is excited for the big party to be held on Christmas Eve. Having participated in the Santa School Training Camp, he dons the bright red outfit he received from the real Santa Claus himself. Now, he's ready to be Santa for the night! He wants to make Christmas a time when everyone can be happy and no one will feel lonely. Even monsters are no exception! Fearing solitude more than anything, he can't help but to extend a hand to those in need."	為了即將在平安夜舉辦的盛大派對，良太突然感到幹勁十足。他參加了東京聖誕老人學校的短期集中強化特訓，穿上了真正的聖誕老人交給他的深紅服裝，做好萬全的準備，作為一個「一夜限定的聖誕老人」大顯身手。他想讓大家幸福度過這個節日，在這個計畫中即便成了孤獨的怪物不例外。因為他是個最恐懼孤獨的少年，看到孤獨的人便不自覺地想要伸出雙手。	为了即将在圣诞夜举办的盛大派对，良太突然充满了干劲。他参加了东京圣诞老人学校的短期集中圣诞老人强化培训，穿上真正的圣诞老人所赠予的深红色服装，为了成为“一夜限定的圣诞老人”，做足了准备。对于希望和大家开开心心度过圣诞节的良太而言，孤独的怪物同样也不会被忽视。正因为这位少年将孤独视为最可怕的东西，他才会向所有孤独的人伸出援手。
