ja	en	zh-tw	zh-cn
フレンド	Amigos	戰友	好友
召喚ガチャ	Invocação de Transiente	召喚轉蛋	召唤扭蛋
マイギルド	Minha Guilda	我的公會	我的公会
エリアマップ	Mapa de Área	區域地圖	区域地图
メッセージBOX	Caixa de Mensagem	收件箱	收件箱
オプション	Opções	選項	选项
ショップ	Loja	商店	商店
編成・強化	Equipe/Aprimorar	編組與強化	队伍与强化
NOMEMBER	SEM MEMBROS	NOMEMBER	NOMEMBER
MENU	MENU	MENU	MENU
はずす	Remover	移除	移出
キャラをはずす	Remover personagem	移除角色	将角色移出队伍
UNKNOWN	DESCONHECIDO	UNKNOWN	UNKNOWN
LEADER	LÍDER	LEADER	LEADER
SUPPORT	SUPORTE	SUPPORT	SUPPORT
S	S	S	S
カード合成	Card Synthesis	卡片合成	卡片合成
パーティ編成	Editar Equipe	編輯隊伍	组建小队
アカウント引継ぎ	Account Transfer	繼承帳號	继承账号
パラメータ	Parameters	數值	参数
引継ぎコード	Transfer Number:	繼承碼	继承用编号
パスワード	Password:	密碼	密码
フィルタ	Filtro	篩選	筛选
パラメータ	Parameters	數值	参数
昇順	Ascending	升序	升序
降順	Descending	降序	降序
転光石購入	Purchase Transient Stones	購買轉光石	购买转光石
イベントアイテム交換	Exchange Event Items	交換活動道具	交换活动道具
ギルドランク報酬	Guild Rank Rewards	公會階級報酬	公会排名奖励
スタミナ回復	Recover Stamina	體力回復	体力恢复
仲間一覧	Ally List	夥伴一覽	伙伴一览
背景変更	Change Background	變更背景	更换背景
限界突破	Refinamento	突破界限	突破界限
レベル強化	Upar Level	強化等級	强化等级
スキル強化	Upar Skill	強化技能	强化技能
チーム編成	Editar Equipe	編輯隊伍	组建队伍
転光石購入	Purchase Transient Stones	購買轉光石	购买转光石
追加スキル	Bonus Skills	追加技能	追加技能
チャージスキル	Charge Skills	必殺技	必杀技
対人関係	Relationships	人際關係	人际关系
調査ファイル1	Background Info 1	調查檔案1	调查档案1
調査ファイル2	Background Info 2	調查檔案2	调查档案2
調査ファイル3	Background Info 3	調查檔案3	调查档案3
基本スキル	Basic Skills	基本技能	基本技能
攻撃範囲	Attack Range	攻擊範圍	攻击范围
カード強化	Card Upgrade	卡片強化	卡片强化
カード選択	Select Card	選擇卡片	选择卡片
CLEARED	CLEARED	CLEARED	CLEARED
DANGER AREA	DANGER AREA	DANGER AREA	DANGER AREA
属性	Atributo	屬性	属性
戦友リスト	Lista de Amigos2	戰友清單	战友列表
召喚結果	Newly Summoned	召喚結果	召唤结果
戦友召喚	Ally Summon	戰友召喚	战友召唤
転光召喚	Transient Summon	轉光召喚	转光召唤
期間限定召喚	Limited Summon	期間限定召喚	期间限定召唤
戦友召喚	Ally Summon	戰友召喚	战友召唤
転光召喚	Transient Summon	轉光召喚	转光召唤
期間限定召喚	Limited Summon	期間限定召喚	期间限定召唤
P戦友召喚	P Ally Summon	P戰友召喚	P战友召唤
アイテム選択	Select Item	選擇道具	选择道具
LEVEL UP	LEVEL UP	LEVEL UP	LEVEL UP
メッセージ	Message	訊息	消息
NEW!	NEW!	NEW!	NEW!
>>NEXT	>>NEXT	>>NEXT	>>NEXT
強化に失敗しました...	Upgrade failed...	強化失敗……	强化失败……
オプション	Opções	選項	选项
ステータスが強化されました	Stat foi aprimorado.	基本數值強化成功	状态已强化
ショップ	Loja	商店	商店
編成・強化	Equipe/Aprimorar	編組與強化	队伍与强化
武器種	Weapon Type	武器種類	武器种类
キャラクター作成	Criação de Personagem	製作角色	创建角色
チーム編成	Editar Equipe	編組隊伍	组建队伍
引継ぎに失敗しました... 	Transfer failed...	繼承失敗…… 	继承失败…… 
引継ぎに成功しました!	Transfer complete!	繼承成功！	继承成功！
ボイス１	Voz 1	語音1	语音1
ボイス２	Voz 2	語音2	语音2
ボイス３	Voz 3	語音3	语音3
ボイス４	Voz 4	語音4	语音4
ボイス５	Voz 5	語音5	语音5
敵の前へ移動させ攻撃します。	seu território que fica na frente de um inimigo!	移動到敵人面前並攻擊。	移动到敌军前方并攻击。
敵の正面(=マーカーの直上)へ	diretamente na frente do seu oponente	到敵人的正面（=標記的正上方）	移动到敌方前方并攻击。
動かしてみましょう！	(onde está marcado)!	試著移動吧！	试着移动一下吧！
主様は確率で発動するスキルとして	"Mestre, você possui uma skill passiva que"	主人將透過隨機發動的技能	主人拥有靠概率发动的技能，  
今度は敵が２体	Mais dois inimigos apareceram!	這次有兩個敵人	这次的敌人为2个
登場してきました。	Personagens que usam Espada podem	出現了。	登场了。
正面と左右１マスを	"bem como diagonais para frente,"	將正面與左右1格	向正面及左右１格
同時に攻撃出来ます。	de uma vez só!	可以同時攻擊。	可以同时攻击。
左に１マス動かして	Mova 1 quadrado para a esquerda e	向左移動1格	向左移动１格
付与するスキルを保有しています。	"que aumenta seu poder de ATK!"	擁有可附加狀態的技能。	拥有附加状态技能。
全てのスキルは自動で確率発動します。	Todas as skills são ativadas por acaso, mas	所有技能皆自動依機率發動。	所有技能均按一定概率自行发动。
今回だけ必ず発動するようにしました！	"Eu me certifiquei de que vai funcionar, só desta vez!"	這次設定為絕對會發動！	这次已经已设置必定发动！  
左へ移動させて攻撃し	Mova-se para a esquerda e ataque!	移到左邊後進行攻擊，	向左移动并攻击
敵のボスは遠くから	"Graças ao seu atributo de Lança,"	敵人的頭目將從遠方	敌方首领拥有可从远处  
毎ターンダメージを与える	"e se sua skill for ativada, ele também"	每回合造成傷害	使用每回合持续伤害的
状態異常「毒」をスキルで	pode infligir o efeito de status Veneno	利用技能將異常狀態「毒」	技能附加异常状态“毒”，  
味方のコマ上を通過すると	Se você tentar se mover para o	從上方通過我方棋子時	通过队友的棋子上方时
自キャラと位置が	"quadrado de um aliado, você"	就會和我方角色的	会与移动的角色  
入れ替わります。	trocará de posição com ele.	交換位置。	交换位置。  
今回は、主様のコマを	"Mestre, tente mover 1 quadrado"	這次把主人的棋子	这次，将主人的棋子  
右に１マス動かして	 para a direita!	向右移動1格	向右移动１格
新たな敵が登場です。	Um novo inimigo apareceu.	新的敵人登場了。	新敌人登场。
上手く動かして	Prepare sua estratégia para derrotar	靈活地移動，	巧妙地进行移动
操作ユニットを上手く使い	Escolha suas unidades com sabedoria.	活用操作單位	巧妙操作角色就能
他のユニットを２マス以上	"Lembre-se, outras unidades podem se mover"	就可移動其他單位	推动其他角色
動かす事が出来ます。	mais de 1 quadrado por vez.	2格以上。	移动２格以上。  
ダメージを与える、	Você pode coletar PC	造成傷害	造成伤害，
又は受けるとＣＰが溜まり	dando ou recebendo dano!	或受到傷害時便會累積必殺量表，	或受到伤害时会蓄积必杀量条，
100%になると必殺技を	"Quando atingir 100%, você poderá"	累積到100%即可	达到100%后就能发动
繰り出す事ができます！	liberar sua Skill de Carga!	使用必殺技！	必杀技！  
主様のコマを	"Mestre, agora experimente a"	把主人的棋子	将主人的棋子
中央・上へ動かして	"Skill de Carga,"	移至中上方，	向中央/上方移动
発動してみましょう！	movendo para o centro de cima!	試著發動吧！	尝试发动吧！  
敵を倒して	os seus inimigos!	打倒敵人	击败敌方
主様の幸運をお祈り致します…	"Eu te desejo sorte, Mestre..."	祝主人好運……	祝主人好运……
「{0}」を戦友一覧から<br>本当に解除してよろしいですか？	{0} will be removed from Friend list.<br>Are you sure?	確定要將「{0}」<br>從戰友一覽中移除嗎？	确定要将“{0}“从战友列表中移除吗？
戦友「{0}」を戦友一覧から解除しました。	Removed {0} from Friend list.	已將戰友「{0}」從戰友一覽中移除。	已将战友“{0}“从战友列表中移除。
「{0}」と戦友になりました。	{0} has become your Friend.	與「{0}」成為戰友了。	与“{0}“成为了战友。
戦友承認に失敗しました	Friend request denied.	加入戰友失敗	战友认证失败
申請破棄に失敗しました。	Failed to withdraw request.	取消申請失敗。	取消申请失败。
「{0}」からの申請を破棄しました。	{0}'s request has been rejected.	取消了「{0}」的申請。	已取消“{0}”提交的申请。
このクエストでは復活することはできません。	Revival is not allowed during this quest.	此任務無法復活。	本任务中无法复活。
パラメータ強化アイテム	Parameter Upgrade Item	數值強化道具	参数强化道具
データロードに失敗しました。\n最初からやり直しますか？	Data failed to load.\nRestart?	資料讀取失敗。\n要重新讀取嗎？	数据读取失败。\n是否重新读取？
このクエストでは復活することはできません。	Revival is not allowed during this quest.	此任務無法復活。	本任务中无法复活。
イベントフィルタなし	No Event Filter.	無指定活動	无活动筛选
キャラクター移動：ドラッグ　表情変更：タップ	Drag to move character. Tap to change expression.	移動角色：拖曳　變更表情：點擊	移动角色：拖动　改变表情：点触
ゲームデータ再取得	Baixar novamente dados do jogo	重新取得遊戲資料	重新获取游戏数据
入手済み戦利品	Completion rewards already obtained.	已獲得的戰利品	已获得的战利品
最初から	Recomeçar	從頭開始	从头开始
続きから	Continuar	繼續	继续游戏
あきらめる	Desistir	放棄	放弃
前回のバトルが正常に終了していません。<br>再開方法を下記から選択して下さい。	A batalha anterior não terminou apropriadamente.<br>Por favor, escolha uma das seguintes opções de reinício.	上一次的對戰未正常結束。<br>請從下列選項選擇重啟方式。	上一次的对战未能正常结束。<br>请选择下列任一选项继续游玩。
※「あきらめる」を選択した場合、消費したリソースは失われます。	"*Se você selecionar Desistir, você não recuperará nenhum recurso consumido."	※若選擇「放棄」，將會損失消費的資源。	※选择“放弃”时，已消耗的资源不会恢复。
同意する	Concordar	同意	同意
同意しない	Recusar	不同意	不同意
利用規約を確認	Ver Termos de Uso	確認使用條款	查看使用条款
このゲームを遊ぶには、「利用規約」に同意していただく必要があります。\n必ず下記「利用規約を確認」から内容を確認の上で、「同意する」ボタンを押してください。\nこのゲームは基本無料で遊ぶことができますが、一部コンテンツに、料金が発生いたします。	"Para jogar esse jogo, você deve aceitar os Termos de Uso.\nPor favor, selecione Ver Termos de Uso abaixo para ler o acordo, e então selecione Concordar.\nEste jogo é gratuito para jogar, mas alguns conteúdos estão disponíveis para compra."	欲遊玩本遊戲，須先同意「使用條款」。\n請務必確認以下「確認使用條款」的內容，並按下「同意」。\n本遊戲基本上為免費遊玩，不過部分內容須收費。	在进入本游戏之前，必须同意“使用条款”的内容。\n请务必确认以下“查看使用条款”的内容后，按下“同意”键。\n本游戏可免费游玩，但部分内容可能会产生一定费用。
この作品はフィクションであり、実在する人物・団体とは一切関係ありません。\nこのアプリは無料で遊ぶことができますが、一部、有料でアイテムを購入することが可能です。	"Esta história é um trabalho de ficção. Qualquer relação com pessoas, figuras ou organizações reais é mera coincidência.\nEste app é gratuito para jogar, mas alguns itens podem ser comprados no jogo."	本作品純屬虛構，與實際存在的人物、團體沒有任何關係。\n此APP為免費遊玩，不過部分道具需付費購買。	本作品纯属虚构，与实际存在的人物和团体没有任何关系。\n本APP游戏可免费游玩，但部分道具可付费购买。
ボイスを決定する	Selecionar Voz	選擇語音	确定语音
プレイヤーのボイスを選択し「決定する」ボタンを押して下さい。ゲーム開始後に変更することも可能です。	Select your avatar's voice and press Confirm. You can change this selection at any time after starting the game.	請選擇玩家的語音，並按下「決定」。遊戲開始後仍可變更。	请选择玩家的语音并按下“确定”键。游戏开始后也能变更。
１~１０文字の範囲で\n名前を入力してください。	Por favor, insira o seu nome.\nEntre 1~10 caracteres.	請輸入姓名。\n字數需為1~10個字。	请输入姓名。\n必须为1~10个字符内。
"本当にギブアップしますか？
このバトルで獲得したドロップ、経験値
および消費したリソースは失われます。"	"Are you sure you want to give up?
All items dropped and XP gained from this battle,
as well as consumed resources, will be lost."	"真的要放棄嗎？
在此對戰中掉落的物品、
經驗值以及消費的資源都將會消失。"	"确定要放弃吗？
本次对战中获得的奖励、
经验值以及消耗的资源将会消失。"
最初から再挑戦	Start over from the beginning.	重新開始挑戰	从头开始挑战
種類	Type	種類	种类
取得条件	Conditions to obtain	取得條件	获取条件
まとめて受け取る	Aceitar Tudo	一次領取	全部领取
≪成長・魂・種≫以外を受け取る	"Aceitar tudo exceto Boosts, Almas, e Sementes."	領取≪成長、魂、種子≫以外的物品	领取“成长、魂、种子”以外的内容
カード限界突破を実行します	Performe um Refinamento.	進行卡片突破界限。	执行卡片突破界限
"一括ダウンロードを中断しました。
後からオプション画面「一括ＤＬ」より
一括ダウンロードを再開する事が可能です。
通信環境が安定した場所で実行して下さい。"	Pre-download has been suspended. You can resume the download later by pressing the Pre-Download button on the Option screen. Please try this only when you have a stable internet connection.	"中斷完整資料下載。
之後可從選項畫面中的「統一資料下載」
重啟完整下載。
請在穩定的通訊環境下執行。"	"已中断打包下载。
此后可通过选项画面的“打包下载”键，
重新开始打包下载。
请在通信环境稳定的地点执行下载。"
ダウンロードに失敗しました。\n\n通信の安定した環境でお試し下さい。	Download failed.\n\nPlease try again when you have a more stable internet connection.	下載失敗。\n\n請在穩定的通訊環境下再次嘗試。	下载失败。\n\n请在通信稳定的环境下重试。
プレイヤー苗字	Player Surname	玩家姓氏	玩家姓名
言語設定	Seleção de Idioma	語言設定	语言设置
更新する	Atualizar	更新	更新
あだ名	Apelido	暱稱	昵称
第6章　タイクーンズ	Chapter 6: Tycoons	第6章　大君	第6章　大君
見習いサンタの贈り物	Gift From An Apprentice Santa	見習聖誕老人的贈禮	实习圣诞老人的礼物
サロモンくんとお正月	New Years with Lil' Salomon	與沙羅門共度新年	与沙罗门共度新年
バレンタインパニック！	Valentine Panic!	情人節大騷動！	情人节大骚动！
黒き雪降る温泉山脈	Black Snow on the Hot Spring Mountains	黑雪紛飛溫泉山脈	黑雪飘舞的温泉山脉
サロモンくんのGW	Lil' Salomon's Golden Week	沙羅門的黃金週	沙罗门的黄金周
キミと真夏の臨海学校	Seaside Summer School with You	與你的盛夏臨海學校	与你共度的海滨夏令营
出航！真夏の海洋冒険	Embark! Summer Ocean Adventure	出航！盛夏的海洋冒險	起航！盛夏的海洋冒险
【{0}】{1}のスキルが「{2}」に強化されました！	{1}'s Skill {0} has been upgraded to {2}!	【{0}】{1}的技能已強化為「{2}」了！	【{0}】{1}的技能「{2}」已强化！
交換状態	Availability	交換狀態	交换状态
NEXT	NEXT	NEXT	NEXT
入力したIDは、あなたのIDです。	Entered ID is your own ID.	所輸入的ID為您自己的ID。	您输入的ID是您自己的ID。
入力したIDは、\n既にあなたの戦友です。	You are already Friends.	所輸入的ID已經是您的戰友。	您输入的ID已经是您的战友。
AP ({0}/{2}) → ({1}/{2})	AP ({0}/{2}) → ({1}/{2})	AP ({0}/{2}) → ({1}/{2})	AP ({0}/{2}) → ({1}/{2})
{0}を{1}個使用AP+{2}(残り{3}個)	Use {1} {0}(s) to restore AP by {2}. ({3} remaining)	使用{1}個{0}，AP+{2}(剩下{3}個)	使用{1}个{0}，AP+{2}（剩余{3}个）
{0}を{1}個消費してAPを{2}回復します。\n本当に実行しますか？	{1} {0}(s) will be spent to restore {2} AP.\nProceed?	消耗{1}個{0}，回復AP{2}。\n確定要執行嗎？	消耗{1}个{0}，恢复{2}AP。\n确定要执行吗？
"この端末に登録されているアカウントがデータと合致しませんでした。
「アカウント引継ぎ」などで別の端末へ移行されている可能性があります。
OKを選択すると、この端末に保存されているアカウント情報を破棄し、新規登録を行います。"	"The account registered to this device does not match the data provided.\n\nThe account in question may have been transferred to a different device via Account Transfer.\n\nSelecting OK will erase the account registered on this device, allowing a new account to be created."	"與登錄在此終端的帳號資料不一致。

可能已透過「帳號繼承」等方式移動到其他終端。

若選擇OK，將會刪除儲存在此終端的帳號資料，並重新進行登錄。"	"此终端上注册的账号与数据不一致。

 可能通过“继承账号”等转移到了其他终端。

 选择OK后，将注销此终端上保存的账号信息并重新进行注册。"
このアカウントは現在凍結されています。	This account has been frozen.	此帳號目前已被凍結。	此账号目前已冻结。
凍結理由は下記の通りです。	The freeze has been implemented for the following reason(s).	凍結原因如下。	冻结原因如下。
詳しい情報についてはサポートまでお問い合わせください。	"For details, please contact Support."	詳細資訊請洽客服中心。	详细信息请咨询客服。
https://housamo.info/gacha{0}/	https://housamo.info/gacha{0}/	https://housamo.info/gacha{0}/	https://housamo.info/gacha{0}/
https://housamo.info/news/1804skqkc/	https://housamo.info/news/1804skqkc/	https://housamo.info/news/1804skqkc/	https://housamo.info/news/1804skqkc/
https://housamo.info/news/newsemester2018/	https://housamo.info/news/newsemester2018/	https://housamo.info/news/newsemester2018/	https://housamo.info/news/newsemester2018/
https://housamo.info/news/language/	https://housamo.info/news/language/	https://housamo.info/news/language/	https://housamo.info/news/language/
https://housamo.info/news/howtoplaytop/	https://housamo.info/news/howtoplaytop/	https://housamo.info/news/howtoplaytop/	https://housamo.info/news/howtoplaytop/
https://housamo.info/	https://housamo.info/en/	https://housamo.info/tw/	https://housamo.info/zh/
https://housamo.info/terms-of-service/	https://housamo.info/en/terms-of-service/	https://housamo.info/tw/terms-of-service/	https://housamo.info/zh/terms-of-service/
https://housamo.info/gacha_law1/	https://housamo.info/gacha_law1/	https://housamo.info/gacha_law1/	https://housamo.info/gacha_law1/
https://housamo.info/gacha_law2/	https://housamo.info/gacha_law2/	https://housamo.info/gacha_law2/	https://housamo.info/gacha_law2/
https://housamo.info/news/clearcash_android/	https://housamo.info/news/clearcash_android/	https://housamo.info/news/clearcash_android/	https://housamo.info/news/clearcash_android/
https://housamo.info/news/appstore/	https://housamo.info/news/appstore/	https://housamo.info/news/appstore/	https://housamo.info/news/appstore/
https://housamo.info/help-top/  	https://housamo.info/en/help-top/  	https://housamo.info/tw/help-top/  	https://housamo.info/zh/help-top/  
スキル進化	Skill Evolution	技能進化	技能进化
CS進化	CS Evolution	必殺技進化	必杀技进化
敵に自属性・{0} ダメージ	Deal {0} damage to target	對敵人造成自身屬性・{0} 傷害	对敌方赋予自身属性・{0} 伤害
交換期限	Exchange by	交換期限	交换期限
あと	Restante:	剩下	剩余
期間を終了しました	No longer valid.	已超過期限	期间结束
無限	No limit	無限制	无限制
交換回数	Remaining:	交換次數	交换次数
回	time(s)	次	次
上記 カード1枚と交換します。<br>よろしいですか？<br>交換後のやり直しは出来ません	Exchange for 1 of the above card.<br>Proceed?<br>The exchange will be final.	兌換上述 卡片1張。<br>確定要繼續嗎？<br>交換後無法復原	与上述的1张卡片进行交换。<br>确定执行操作吗？<br>交换后将无法复原
"上記{0}と{1:#,##0}回交換します。"	"Exchange {0}(s) {1:#,##0} time(s)."	"與上述{0}進行{1:#,##0}次交換。"	"与上述的{0}进行交换 {1:#,##0}次。"
アイテムを{0}個消費します。	{0} item(s) will be traded in.	消耗{0}個道具。	消耗{0}个道具。
上のスライダーを左右に動かして、交換する数を変更できます。	Move the slider to adjust the amount to be exchanged.	左右滑動上面的滑動條，即可變更交換數量。	左右移动上方的滑块，可以变更交换个数。
神器Lv	Lv de Artefato	神器等級	神器等级
実行	Aprimorar	執行	执行
日	 dia(s)	天	天
[バトル開始時]	[バトル開始時]	[對戰開始時]	[对战开始时]
[フェーズ開始時]	(Phase Start)	[階段開始時]	[阶段开始时]
[移動時]	(When Moving)	[移動時]	[移动时]
[移動後]	(Post-Movement)	[移動後]	[移动后]
[攻撃時]	(When Attacking)	[攻擊時]	[攻击时]
[特攻]	[特攻]	[特攻]	[特攻]
[状態特攻]	[状態特攻]	[狀態特攻]	[状态特攻]
[攻撃後]	(Post-Attack)	[攻擊後]	[攻击后]
[CS時]	[CS時]	[必殺技時]	[必杀技时]
[CS後]	[CS後]	[必殺技後]	[必杀技后]
[ダメージ時]	[ダメージ時]	[受傷害時]	[造成伤害时]
[状態異常時]	(When Under Status Effect)	[狀態異常時]	[状态异常时]
[ダメージ後]	(Post-Damage)	[受傷害後]	[伤害后]
[対ダメージ]	(On Damaging Opponent)	[受傷害時]	[造成伤害]
[ターン終了時]	[ターン終了時]	[回合結束時]	[回合结束时]
[フェーズ終了時]	[フェーズ終了時]	[階段結束時]	[阶段结束时]
[敗北時]	[敗北時]	[失敗時]	[败北时]
[勝利時]	[勝利時]	[勝利時]	[胜利时]
[登場時]	[登場時]	[登場時]	[登场时]
[退場時]	[退場時]	[退場時]	[退场时]
[自陣ターン開始時]	[自陣ターン開始時]	[我方回合開始時]	[我方阵营回合开始时]
[敵陣ターン開始時]	[敵陣ターン開始時]	[敵方回合開始時]	[敌方阵营回合开始时]
期間終了	Expired	期間結束	期间结束
時間	 hour	小時	点
分	 min	分鐘	分钟
秒	 sec	秒	秒
時間	 h	小時	小时
分	 m	分鐘	分钟
秒	 s	秒	秒
日	 d	天	天
スタミナ	Stamina	體力	体力
チーム{0}を解散させます。<br>よろしいですか？	Dispersar Equipe {0}.<br>Você tem certeza?	解散隊伍{0}。<br>卻定要繼續嗎？	解散队伍{0}。是否确定？
消費アイテム	Itens para Usar	消耗道具	消耗道具
※選択されたアイテムは使用後に消滅します	*O(s) Item(ns) selecionado(s) desaparecerá(ão) após o uso.	※所選擇的道具在使用後會消失	※所选道具将在使用后消失
強化前	Antes	強化前	强化前
強化後	Depois	強化後	强化后
予想獲得経験値	XP Previsto	預計獲得經驗值：	预计可获经验值
必要コイン枚数：	Moedas Necessárias:	所需錢幣數：	需要金币数量：
レベル{0}まで	Até Lv {0}	達到等級{0}	达到{0}级
所持コイン	Moedas Possuídas	持有錢幣	持有金币
必要カードレベル	Lv Neccesário	所需卡片等級	需要等级
現在カードレベル	Lv Atual	目前卡片等級	当前等级
上昇率	Chance de Upar Lv:	增長率	上升率
素材タップで獲得可能クエストが表示されます	Toque no material para ver em quais missões ele pode ser obtido.	點選道具會顯示可取得的任務	点击道具会显示可用的任务
所持コインが不足しています	Current coins insufficient	持有錢幣不足	所持金币不足
実行	Confirmar	執行	执行
強化に失敗しました。	Upgrade failed.	強化失敗。	强化失败。
入手可能クエスト	Obtido em:	可取得的任務	可用的任务
通常アイテム	Common Item	普通道具	普通道具
経験値素材	XP Upgrade Item	經驗值強化道具	经验值强化道具
スキル強化素材	Skill Upgrade Item	技能強化道具	技能强化道具
限界突破素材	Item de Refinamento	突破界限道具	突破界限道具
イベント交換アイテム	Event-only Item	活動交換道具	活动交换道具
倉庫拡張アイテム	Inventory Expansion	擴充倉庫道具	库存扩展道具
インテリア	Decoration	室內	室内
フォトフレーム	Photo frame	相框	相框
成長アイテム（種）	Growth Item (seed)	成長道具（種子）	成长道具（种子）
ブーストアイテム	Boost Item	增強道具	提升道具
陣形指南書	Formation Textbook	陣形指南書	阵型指南书
その他	Other Item	其他	其它
検索上限を超えたため、{0}件のクエストを表示します	Displaying first {0} search results.	由於超出搜索限制，將顯示{0}個任務	由于已超出搜索限制，所以显示{0}个任务
現在、獲得可能なクエストはありません	This item is not dropped in any of the quests currently available.	目前沒有任何你可能取得的任務	目前没有可以获得的任务
獲得可能なクエストが{0}件見つかりました	Obtido em {0} missão(ões).	找到{0}個任務	找到{0}个可获得的任务
不可	Not possible	不可	不可
{0}を{3}個使用AP+{1}(残り{2}個)	Use {3} {0}(s) to restore AP by {1}. ({2} remaining)	使用{3}個{0}，AP+{1}(剩下{2}個)	使用{0}个{3}，AP+{1}（剩余{2}个）
開始まで	Begins in	到開始前	到开始
サポート編成を解散します。<br>よろしいですか？<br><br>※「FREE」枠は、そのまま残ります	A Equipe de Suporte será esvaziado.<br>Prosseguir?<br><br>*O slot FREE permanecerá inalterado.	解散協助陣容。<br>確定要解散嗎？<br><br>※「FREE」欄位將就此保留	解散支援队伍。<br>要解散吗？<br><br>※「自由」位置会保留
解散する	Prosseguir	解散	解散
サポート解散	Empty All	解散協助	支援解散
属性選択	Selecione o Atributo	選擇屬性	选择属性
サポートを選択して下さい。　(長押しで詳細表示)	Por favor, selecione seu Suporte. (Pressione e segure para mostrar detalhes).	請選擇協助者。 （長按顯示詳細內容）	请选择支援者。 （长按显示详情）
現在のサポート編成を保存します。<br>よろしいですか？<br>	A Equipe de Suporte será salvo.<br>Prosseguir?<br>	保存現在編組的協助。<br>選擇保存嗎？<br>	保存现在的支援队伍。<br>要保存吗？<br>
保存して終了	Salvar e Fechar	保存後結束	保存并结束
現在の編集内容を破棄します。<br>よろしいですか？<br>	A Equipe não será salvo.<br>Prosseguir?<br>	放棄現在編組的協助。<br>選擇放棄嗎？<br>	放弃现在编成的内容。<br>要放弃吗？<br>
保存せずに終了	Close without saving	不保存即結束	不保存并结束
サポート編成	Support Team	編組協助	支援队伍
火	Fire	火	火
水	Water	水	水
木	Wood	木	木
天	Aether	天	天
冥	Nether	冥	冥
魔	Infernal	魔	魔
英雄	Valiant	英雄	英雄
世界	World	世界	世界
一覧	Lineup	一覽	一览
イベントボーナス表示	Bônus de Evento	顯示活動優惠	显示活动奖励
ボーナス表示	Bônus de Evento	顯示優惠	显示奖励
獲得量	Quant. de Aquisição	獲得量	获得数量
チーム情報の保存に失敗しました。	Save failed.	隊伍資訊保存失敗。	队伍信息保存失败。
保存	Salvar	保存	保存
スキル発動率+{0}%	Skill Rate: +{0}%	技能發動率+{0}%	技能发动率+{0}%
スキル発動率	Skill Rate	技能發動率	技能发动率
スキルの種でスキル発動率を上昇させます。<br>すでに発動率100%のスキルには効果はありません。<br>よろしいですか？<br>	Skill Rate will be increased.<br>Rate cannot exceed 100%.<br>Proceed?<br>	技能種子可讓技能發動率上升。<br>技能發動率100％時不會產生效果。 <br>確定進行嗎？	使用技能种子使技能的发动率上升。<br>对发动率已100％的技能无效。<br>确定使用吗？
プレイヤーの外見を選択し、決定ボタンを押して下さい。ゲーム開始後に変更可能です。	Select your desired player image and press the OK button. This can be changed any time after starting the game.	請選擇角色的外觀，並按下確認按鈕。您可以在遊戲開始後隨時更改。	请选择角色的外观，决定后请按确定按钮。您可以在游戏开始后再次更改。
プレイヤーのボイスを選択し「決定する」ボタンを押して下さい。ゲーム開始後に変更することも可能です。	Select your desired player voice and press the OK button. This can be changed any time after starting the game.	請選擇角色的語音，並按下確認按鈕。您可以在遊戲開始後隨時更改。	请选择角色的声音，决定后请按确定按钮。您可以在游戏开始后再次更改。
プレイヤーのボイスを選択し「決定する」ボタンを押して下さい。ゲーム開始後に変更することも可能です。	"Enter your desired player name and select gender identity, then press the OK button."	請選擇角色的語音，並按下確認按鈕。您可以在遊戲開始後隨時更改。	请选择角色的声音，决定后请按确定按钮。您可以在游戏开始后再次更改。
１~１０文字の範囲で<br>名前を入力してください。	Por favor, insira o seu nome.\nEntre 1~10 caracteres.	請輸入姓名。\n字數需為1~10個字。	请输入姓名。<br>必须为1~10个字符内。
これでチュートリアルは終了です。<br>この続きはアプリストアからゲームをダウンロードして、<br>チェックしてください！	Tutorial Complete!<br>Please download the game from your app store<br>to play on!	恭喜您完成教學模式！<br>如想繼續體驗本作，<br>請務必上App Store或Play商店下載！	教程到此已告一段落。<br>如想继续体验本作，<br>请上应用商店免费下载！
経験値強化アイテム／種　フィルタ	Item de Aprimorar XP/Filtro de Semente	經驗值強化道具／種　篩選	经验值强化道具／种子　筛选
スキル強化アイテム／種　フィルタ	Aprimoramento de Skill, Filtro de Item/Semente	技能強化道具／種　篩選	技能强化道具／种子　筛选
イベントフィルタ	Filtro de Evento	活動篩選	活动筛选
イベントフィルタなし	Sem Filtro de Evento.	無指定活動	无活动筛选
ALL	TODOS	ALL	全部
{0}獲得量アップ	Increase amount of {0} acquired	{0}獲得量提升	{0}获得量增加
{0}付与	{0}付与	附加{0}	{0}附加
ATKブースト	Boost de ATK	ATK增強	ATK提升
HPブースト	Boost de HP	HP增強	HP提升
交換を完了しました。	Exchange complete.	交換完成。	已完成交换。
上記 カード1枚と交換します。<br>よろしいですか？<br></size><size=28>交換後のやり直しは出来ません	Exchange for 1 of the above card.<br>Proceed?<br><size=28>The exchange will be final.</size>	兌換上述 卡片1張。<br>確定要繼續嗎？<br></size><size=28>交換後無法復原	与上述的1张卡片进行交换。<br>确定执行操作吗？<br></size><size=28>交换后将无法复原
"上記{0}{1:#,##0}{2}と交換します。"	"Exchange for {1:#, ##0}{2} of the above {0}."	"將換上述{1:#,##0}{2}{0}。"	"与上述{0}{1:#,##0}{2}进行交换。"
